participant,Welcome_Screen:1,participant_code:1,age:1,gender:1,handedness:1,education:1,income:1,computer_hours:1,wcst_task:1,n_back_task:1,corsi_block_span_task:1,fitts_law:1,navon_task:1,TIME_start,TIME_end,TIME_total
s.a46a2fab-e8ab-4f07-9599-2f75b3fbb399.txt,welcome_screen.2021-05-25-1559.data.a46a2fab-e8ab-4f07-9599-2f75b3fbb399.txt,420839,49,2,1,3,3,28,WCST_Task.2021-05-25-1609.data.a46a2fab-e8ab-4f07-9599-2f75b3fbb399.txt,N_Back_Task.2021-05-25-1614.data.a46a2fab-e8ab-4f07-9599-2f75b3fbb399.txt,Corsi_Block_Span_Task.2021-05-25-1616.data.a46a2fab-e8ab-4f07-9599-2f75b3fbb399.txt,Fitts_Law.2021-05-25-1618.data.a46a2fab-e8ab-4f07-9599-2f75b3fbb399.txt,Navon_Task.2021-05-25-1621.data.a46a2fab-e8ab-4f07-9599-2f75b3fbb399.txt,2021-05-25-15-58,2021-05-25-16-21,23,
s.aecc4e34-b8dd-4b0d-a184-7746afce8f7c.txt,welcome_screen.2021-05-25-1615.data.aecc4e34-b8dd-4b0d-a184-7746afce8f7c.txt,739375,57,1,1,2,2,0,WCST_Task.2021-05-25-1624.data.aecc4e34-b8dd-4b0d-a184-7746afce8f7c.txt,N_Back_Task.2021-05-25-1629.data.aecc4e34-b8dd-4b0d-a184-7746afce8f7c.txt,Corsi_Block_Span_Task.2021-05-25-1631.data.aecc4e34-b8dd-4b0d-a184-7746afce8f7c.txt,Fitts_Law.2021-05-25-1633.data.aecc4e34-b8dd-4b0d-a184-7746afce8f7c.txt,Navon_Task.2021-05-25-1637.data.aecc4e34-b8dd-4b0d-a184-7746afce8f7c.txt,2021-05-25-16-14,2021-05-25-16-37,23,
s.6f432367-3ad5-4d67-b59f-6a7346abe8d2.txt,welcome_screen.2021-05-25-1602.data.6f432367-3ad5-4d67-b59f-6a7346abe8d2.txt,260309,32,2,1,3,6,18,WCST_Task.2021-05-25-1614.data.6f432367-3ad5-4d67-b59f-6a7346abe8d2.txt,N_Back_Task.2021-05-25-1619.data.6f432367-3ad5-4d67-b59f-6a7346abe8d2.txt,Corsi_Block_Span_Task.2021-05-25-1621.data.6f432367-3ad5-4d67-b59f-6a7346abe8d2.txt,Fitts_Law.2021-05-25-1622.data.6f432367-3ad5-4d67-b59f-6a7346abe8d2.txt,Navon_Task.2021-05-25-1624.data.6f432367-3ad5-4d67-b59f-6a7346abe8d2.txt,2021-05-25-16-02,2021-05-25-16-24,22,
s.8fbd68c6-af22-4022-9f56-4968abcdc119.txt,welcome_screen.2021-05-25-1557.data.8fbd68c6-af22-4022-9f56-4968abcdc119.txt,364516,45,1,1,3,4,15,WCST_Task.2021-05-25-1611.data.8fbd68c6-af22-4022-9f56-4968abcdc119.txt,N_Back_Task.2021-05-25-1620.data.8fbd68c6-af22-4022-9f56-4968abcdc119.txt,Corsi_Block_Span_Task.2021-05-25-1622.data.8fbd68c6-af22-4022-9f56-4968abcdc119.txt,Fitts_Law.2021-05-25-1624.data.8fbd68c6-af22-4022-9f56-4968abcdc119.txt,Navon_Task.2021-05-25-1629.data.8fbd68c6-af22-4022-9f56-4968abcdc119.txt,2021-05-25-15-56,2021-05-25-16-29,33,
s.531514c9-e34d-455e-b5cf-3a3eaab93296.txt,welcome_screen.2021-05-25-1556.data.531514c9-e34d-455e-b5cf-3a3eaab93296.txt,640181,31,2,1,2,6,10,WCST_Task.2021-05-25-1606.data.531514c9-e34d-455e-b5cf-3a3eaab93296.txt,N_Back_Task.2021-05-25-1613.data.531514c9-e34d-455e-b5cf-3a3eaab93296.txt,Corsi_Block_Span_Task.2021-05-25-1615.data.531514c9-e34d-455e-b5cf-3a3eaab93296.txt,Fitts_Law.2021-05-25-1617.data.531514c9-e34d-455e-b5cf-3a3eaab93296.txt,Navon_Task.2021-05-25-1621.data.531514c9-e34d-455e-b5cf-3a3eaab93296.txt,2021-05-25-15-56,2021-05-25-16-21,25,
s.24540579-c765-4b00-868f-e172050faa5b.txt,welcome_screen.2021-05-25-1557.data.24540579-c765-4b00-868f-e172050faa5b.txt,117306,28,1,1,3,3,5,WCST_Task.2021-05-25-1607.data.24540579-c765-4b00-868f-e172050faa5b.txt,N_Back_Task.2021-05-25-1613.data.24540579-c765-4b00-868f-e172050faa5b.txt,Corsi_Block_Span_Task.2021-05-25-1614.data.24540579-c765-4b00-868f-e172050faa5b.txt,Fitts_Law.2021-05-25-1616.data.24540579-c765-4b00-868f-e172050faa5b.txt,Navon_Task.2021-05-25-1619.data.24540579-c765-4b00-868f-e172050faa5b.txt,2021-05-25-15-57,2021-05-25-16-19,22,
s.99ea9504-2716-4ae3-9d5c-d2b95c65e1fe.txt,welcome_screen.2021-05-25-1556.data.99ea9504-2716-4ae3-9d5c-d2b95c65e1fe.txt,122240,37,1,1,3,5,20,WCST_Task.2021-05-25-1606.data.99ea9504-2716-4ae3-9d5c-d2b95c65e1fe.txt,N_Back_Task.2021-05-25-1613.data.99ea9504-2716-4ae3-9d5c-d2b95c65e1fe.txt,Corsi_Block_Span_Task.2021-05-25-1615.data.99ea9504-2716-4ae3-9d5c-d2b95c65e1fe.txt,Fitts_Law.2021-05-25-1616.data.99ea9504-2716-4ae3-9d5c-d2b95c65e1fe.txt,Navon_Task.2021-05-25-1619.data.99ea9504-2716-4ae3-9d5c-d2b95c65e1fe.txt,2021-05-25-15-56,2021-05-25-16-19,23,
s.f08c5757-ac07-4a3b-bd2b-ace2ff9f7410.txt,welcome_screen.2021-05-25-1631.data.f08c5757-ac07-4a3b-bd2b-ace2ff9f7410.txt,866118,44,1,1,3,5,10,WCST_Task.2021-05-25-1639.data.f08c5757-ac07-4a3b-bd2b-ace2ff9f7410.txt,N_Back_Task.2021-05-25-1645.data.f08c5757-ac07-4a3b-bd2b-ace2ff9f7410.txt,Corsi_Block_Span_Task.2021-05-25-1647.data.f08c5757-ac07-4a3b-bd2b-ace2ff9f7410.txt,Fitts_Law.2021-05-25-1648.data.f08c5757-ac07-4a3b-bd2b-ace2ff9f7410.txt,Navon_Task.2021-05-25-1651.data.f08c5757-ac07-4a3b-bd2b-ace2ff9f7410.txt,2021-05-25-16-31,2021-05-25-16-51,20,
s.fa4db0c5-9f83-4b95-99fe-c1deac6c8f51.txt,welcome_screen.2021-05-25-1605.data.fa4db0c5-9f83-4b95-99fe-c1deac6c8f51.txt,479010,33,2,1,3,8,85,WCST_Task.2021-05-25-1619.data.fa4db0c5-9f83-4b95-99fe-c1deac6c8f51.txt,N_Back_Task.2021-05-25-1624.data.fa4db0c5-9f83-4b95-99fe-c1deac6c8f51.txt,Corsi_Block_Span_Task.2021-05-25-1625.data.fa4db0c5-9f83-4b95-99fe-c1deac6c8f51.txt,Fitts_Law.2021-05-25-1627.data.fa4db0c5-9f83-4b95-99fe-c1deac6c8f51.txt,Navon_Task.2021-05-25-1630.data.fa4db0c5-9f83-4b95-99fe-c1deac6c8f51.txt,2021-05-25-16-05,2021-05-25-16-30,25,
s.544fb5c3-9667-4698-b7e8-bafc11fa03ee.txt,welcome_screen.2021-05-29-2132.data.544fb5c3-9667-4698-b7e8-bafc11fa03ee.txt,835635,25,2,1,3,9,62,WCST_Task.2021-05-29-2142.data.544fb5c3-9667-4698-b7e8-bafc11fa03ee.txt,N_Back_Task.2021-05-29-2151.data.544fb5c3-9667-4698-b7e8-bafc11fa03ee.txt,Corsi_Block_Span_Task.2021-05-29-2152.data.544fb5c3-9667-4698-b7e8-bafc11fa03ee.txt,Fitts_Law.2021-05-29-2157.data.544fb5c3-9667-4698-b7e8-bafc11fa03ee.txt,Navon_Task.2021-05-29-2208.data.544fb5c3-9667-4698-b7e8-bafc11fa03ee.txt,2021-05-29-21-32,2021-05-29-22-08,36,
