,participant,reward,status,action,rule,rule_correct,rule_used,n_t
510,739085.0,0,2,3,number,number,color,10
511,739085.0,0,2,3,number,number,color,11
512,739085.0,1,1,2,number,number,number,12
513,739085.0,1,1,2,number,number,number,13
514,739085.0,1,1,2,number,number,number,14
515,739085.0,1,1,2,number,number,number,15
516,739085.0,1,1,2,number,number,number,16
517,739085.0,1,1,2,number,number,number,17
518,739085.0,1,1,2,number,number,number,18
519,739085.0,0,2,1,color,color,shape,19
520,739085.0,0,2,1,color,color,shape,20
521,739085.0,1,1,3,color,color,color,21
522,739085.0,1,1,3,color,color,color,22
523,739085.0,1,1,3,color,color,color,23
524,739085.0,1,1,3,color,color,color,24
525,739085.0,1,1,3,color,color,color,25
526,739085.0,1,1,3,color,color,color,26
527,739085.0,1,1,1,shape,shape,shape,27
528,739085.0,1,1,1,shape,shape,shape,28
529,739085.0,1,1,1,shape,shape,shape,29
530,739085.0,1,1,1,shape,shape,shape,30
531,739085.0,1,1,1,shape,shape,shape,31
532,739085.0,1,1,1,shape,shape,shape,32
533,739085.0,1,1,1,shape,shape,shape,33
534,739085.0,1,1,1,shape,shape,shape,34
535,739085.0,0,2,1,number,number,shape,35
536,739085.0,1,1,2,number,number,number,36
537,739085.0,1,1,2,number,number,number,37
538,739085.0,1,1,2,number,number,number,38
539,739085.0,0,2,1,number,number,shape,39
540,739085.0,1,1,2,number,number,number,40
541,739085.0,1,1,2,number,number,number,41
542,739085.0,0,2,1,color,color,shape,42
543,739085.0,0,2,1,color,color,shape,43
544,739085.0,1,1,3,color,color,color,44
545,739085.0,1,1,3,color,color,color,45
546,739085.0,1,1,3,color,color,color,46
547,739085.0,0,2,1,number,number,shape,47
548,739085.0,0,2,3,number,number,color,48
549,739085.0,1,1,2,number,number,number,49
550,739085.0,0,3,,number,number,time out,50
551,739085.0,1,1,2,number,number,number,51
552,739085.0,0,2,3,number,number,color,52
553,739085.0,0,2,3,shape,shape,color,53
554,739085.0,0,2,3,shape,shape,color,54
555,739085.0,0,2,3,shape,shape,color,55
556,739085.0,0,2,3,shape,shape,color,56
557,739085.0,1,1,1,shape,shape,shape,57
558,739085.0,0,2,3,shape,shape,color,58
559,739085.0,1,1,1,shape,shape,shape,59
560,739085.0,1,1,3,color,color,color,60
561,739085.0,1,1,3,color,color,color,61
562,739085.0,1,1,3,color,color,color,62
563,739085.0,1,1,3,color,color,color,63
564,739085.0,1,1,3,color,color,color,64
565,739085.0,1,1,1,shape,shape,shape,65
566,739085.0,1,1,1,shape,shape,shape,66
567,739085.0,1,1,1,shape,shape,shape,67
568,739085.0,1,1,1,shape,shape,shape,68
569,739085.0,1,1,1,shape,shape,shape,69
570,739085.0,0,2,1,number,number,shape,70
571,739085.0,0,2,3,number,number,color,71
572,739085.0,1,1,2,number,number,number,72
573,739085.0,1,1,2,number,number,number,73
574,739085.0,1,1,2,number,number,number,74
575,739085.0,1,1,2,number,number,number,75
576,739085.0,0,2,1,number,number,shape,76
577,739085.0,0,2,3,shape,shape,color,77
578,739085.0,1,1,1,shape,shape,shape,78
579,739085.0,1,1,1,shape,shape,shape,79
580,739085.0,1,1,1,shape,shape,shape,80
581,739085.0,1,1,1,shape,shape,shape,81
582,739085.0,1,1,1,shape,shape,shape,82
583,739085.0,1,1,3,color,color,color,83
584,739085.0,1,1,3,color,color,color,84
585,739085.0,1,1,3,color,color,color,85
586,739085.0,1,1,3,color,color,color,86
587,739085.0,1,1,3,color,color,color,87
588,739085.0,1,1,1,shape,shape,shape,88
589,739085.0,1,1,1,shape,shape,shape,89
590,739085.0,1,1,1,shape,shape,shape,90
591,739085.0,1,1,1,shape,shape,shape,91
592,739085.0,1,1,1,shape,shape,shape,92
593,739085.0,1,1,1,shape,shape,shape,93
594,739085.0,1,1,3,color,color,color,94
595,739085.0,1,1,3,color,color,color,95
596,739085.0,1,1,3,color,color,color,96
597,739085.0,1,1,3,color,color,color,97
598,739085.0,1,1,3,color,color,color,98
599,739085.0,1,1,3,color,color,color,99
600,709691.0,0,2,2,shape,shape,number,0
601,709691.0,0,2,3,shape,shape,color,1
602,709691.0,1,1,1,shape,shape,shape,2
603,709691.0,1,1,1,shape,shape,shape,3
604,709691.0,1,1,1,shape,shape,shape,4
605,709691.0,1,1,1,shape,shape,shape,5
606,709691.0,1,1,1,shape,shape,shape,6
607,709691.0,1,1,1,shape,shape,shape,7
608,709691.0,1,1,1,shape,shape,shape,8
609,709691.0,1,1,1,shape,shape,shape,9
610,709691.0,0,2,1,number,number,shape,10
611,709691.0,0,2,3,number,number,color,11
612,709691.0,1,1,2,number,number,number,12
613,709691.0,1,1,2,number,number,number,13
614,709691.0,1,1,2,number,number,number,14
615,709691.0,1,1,2,number,number,number,15
616,709691.0,1,1,2,number,number,number,16
617,709691.0,1,1,2,number,number,number,17
618,709691.0,1,1,2,number,number,number,18
619,709691.0,0,2,1,color,color,shape,19
620,709691.0,0,2,1,color,color,shape,20
621,709691.0,0,2,2,color,color,number,21
622,709691.0,1,1,3,color,color,color,22
